,ensembl_gene_id,hsapiens_homolog_ensembl_gene
0,ENSMUSG00000064336,
1,ENSMUSG00000064337,
2,ENSMUSG00000064338,
3,ENSMUSG00000064339,
4,ENSMUSG00000064340,
5,ENSMUSG00000064341,ENSG00000198888
6,ENSMUSG00000064342,
7,ENSMUSG00000064343,
8,ENSMUSG00000064344,
9,ENSMUSG00000064345,ENSG00000198763
10,ENSMUSG00000064346,
11,ENSMUSG00000064347,
12,ENSMUSG00000064348,
13,ENSMUSG00000064349,
14,ENSMUSG00000064350,
15,ENSMUSG00000064351,ENSG00000198804
16,ENSMUSG00000064352,
17,ENSMUSG00000064353,
18,ENSMUSG00000064354,ENSG00000198712
19,ENSMUSG00000064355,
20,ENSMUSG00000064356,ENSG00000228253
21,ENSMUSG00000064357,ENSG00000198899
22,ENSMUSG00000064358,ENSG00000198938
23,ENSMUSG00000064359,
24,ENSMUSG00000064360,ENSG00000198840
25,ENSMUSG00000064361,
26,ENSMUSG00000065947,ENSG00000212907
27,ENSMUSG00000064363,ENSG00000198886
28,ENSMUSG00000064364,
29,ENSMUSG00000064365,
30,ENSMUSG00000064366,
31,ENSMUSG00000064367,ENSG00000198786
32,ENSMUSG00000064368,ENSG00000198695
33,ENSMUSG00000064369,
34,ENSMUSG00000064370,ENSG00000198727
35,ENSMUSG00000064371,
36,ENSMUSG00000064372,
37,ENSMUSG00002075400,
38,ENSMUSG00002074899,
39,ENSMUSG00000095019,
40,ENSMUSG00000095666,ENSG00000239810
41,ENSMUSG00000095666,ENSG00000229571
42,ENSMUSG00000095666,ENSG00000204505
43,ENSMUSG00000095666,ENSG00000204478
44,ENSMUSG00000095666,ENSG00000204501
45,ENSMUSG00000095666,ENSG00000270601
46,ENSMUSG00000095666,ENSG00000116726
47,ENSMUSG00000095666,ENSG00000120952
48,ENSMUSG00000095666,ENSG00000279169
49,ENSMUSG00000095666,ENSG00000204479
50,ENSMUSG00000095666,ENSG00000279804
51,ENSMUSG00000095666,ENSG00000204510
52,ENSMUSG00000095666,ENSG00000243073
53,ENSMUSG00000095666,ENSG00000280267
54,ENSMUSG00000095666,ENSG00000274764
55,ENSMUSG00000095666,ENSG00000116721
56,ENSMUSG00000095666,ENSG00000204480
57,ENSMUSG00000095666,ENSG00000232423
58,ENSMUSG00000095666,ENSG00000204481
59,ENSMUSG00000095666,ENSG00000237700
60,ENSMUSG00000095666,ENSG00000182330
61,ENSMUSG00000095666,ENSG00000187545
62,ENSMUSG00000094741,ENSG00000239810
63,ENSMUSG00000094741,ENSG00000229571
64,ENSMUSG00000094741,ENSG00000204505
65,ENSMUSG00000094741,ENSG00000204478
66,ENSMUSG00000094741,ENSG00000204501
67,ENSMUSG00000094741,ENSG00000270601
68,ENSMUSG00000094741,ENSG00000116726
69,ENSMUSG00000094741,ENSG00000120952
70,ENSMUSG00000094741,ENSG00000279169
71,ENSMUSG00000094741,ENSG00000204479
72,ENSMUSG00000094741,ENSG00000279804
73,ENSMUSG00000094741,ENSG00000204510
74,ENSMUSG00000094741,ENSG00000243073
75,ENSMUSG00000094741,ENSG00000280267
76,ENSMUSG00000094741,ENSG00000274764
77,ENSMUSG00000094741,ENSG00000116721
78,ENSMUSG00000094741,ENSG00000204480
79,ENSMUSG00000094741,ENSG00000232423
80,ENSMUSG00000094741,ENSG00000204481
81,ENSMUSG00000094741,ENSG00000237700
82,ENSMUSG00000094741,ENSG00000182330
83,ENSMUSG00000094741,ENSG00000187545
84,ENSMUSG00000096776,
85,ENSMUSG00000079800,
86,ENSMUSG00000079222,
87,ENSMUSG00000094836,ENSG00000239810
88,ENSMUSG00000094836,ENSG00000229571
89,ENSMUSG00000094836,ENSG00000204505
90,ENSMUSG00000094836,ENSG00000204478
91,ENSMUSG00000094836,ENSG00000204501
92,ENSMUSG00000094836,ENSG00000270601
93,ENSMUSG00000094836,ENSG00000116726
94,ENSMUSG00000094836,ENSG00000120952
95,ENSMUSG00000094836,ENSG00000279169
96,ENSMUSG00000094836,ENSG00000204479
97,ENSMUSG00000094836,ENSG00000279804
98,ENSMUSG00000094836,ENSG00000204510
99,ENSMUSG00000094836,ENSG00000243073
100,ENSMUSG00000094836,ENSG00000280267
101,ENSMUSG00000094836,ENSG00000274764
102,ENSMUSG00000094836,ENSG00000116721
103,ENSMUSG00000094836,ENSG00000204480
104,ENSMUSG00000094836,ENSG00000232423
105,ENSMUSG00000094836,ENSG00000204481
106,ENSMUSG00000094836,ENSG00000237700
107,ENSMUSG00000094836,ENSG00000182330
108,ENSMUSG00000094836,ENSG00000187545
109,ENSMUSG00000074720,ENSG00000239810
110,ENSMUSG00000074720,ENSG00000229571
111,ENSMUSG00000074720,ENSG00000204505
112,ENSMUSG00000074720,ENSG00000204478
113,ENSMUSG00000074720,ENSG00000204501
114,ENSMUSG00000074720,ENSG00000270601
115,ENSMUSG00000074720,ENSG00000116726
116,ENSMUSG00000074720,ENSG00000120952
117,ENSMUSG00000074720,ENSG00000279169
118,ENSMUSG00000074720,ENSG00000204479
119,ENSMUSG00000074720,ENSG00000279804
120,ENSMUSG00000074720,ENSG00000204510
121,ENSMUSG00000074720,ENSG00000243073
122,ENSMUSG00000074720,ENSG00000280267
123,ENSMUSG00000074720,ENSG00000274764
124,ENSMUSG00000074720,ENSG00000116721
125,ENSMUSG00000074720,ENSG00000204480
126,ENSMUSG00000074720,ENSG00000232423
127,ENSMUSG00000074720,ENSG00000204481
128,ENSMUSG00000074720,ENSG00000237700
129,ENSMUSG00000074720,ENSG00000182330
130,ENSMUSG00000074720,ENSG00000187545
131,ENSMUSG00000095092,ENSG00000135899
132,ENSMUSG00000094383,ENSG00000239810
133,ENSMUSG00000094383,ENSG00000229571
134,ENSMUSG00000094383,ENSG00000204505
135,ENSMUSG00000094383,ENSG00000204478
136,ENSMUSG00000094383,ENSG00000204501
137,ENSMUSG00000094383,ENSG00000270601
138,ENSMUSG00000094383,ENSG00000116726
139,ENSMUSG00000094383,ENSG00000120952
140,ENSMUSG00000094383,ENSG00000279169
141,ENSMUSG00000094383,ENSG00000204479
142,ENSMUSG00000094383,ENSG00000279804
143,ENSMUSG00000094383,ENSG00000204510
144,ENSMUSG00000094383,ENSG00000243073
145,ENSMUSG00000094383,ENSG00000280267
146,ENSMUSG00000094383,ENSG00000274764
147,ENSMUSG00000094383,ENSG00000116721
148,ENSMUSG00000094383,ENSG00000204480
149,ENSMUSG00000094383,ENSG00000232423
150,ENSMUSG00000094383,ENSG00000204481
151,ENSMUSG00000094383,ENSG00000237700
